ZIP code,average income
10001,102878.03360298694
10002,59604.041164658636
10003,114273.04964539007
10004,132004.3103448276
10005,121437.7133105802
10006,126377.1186440678
10007,138853.90428211587
10009,77133.23353293413
10010,116272.69881026926
10011,120420.79207920792
10012,111131.78633975482
10013,106023.04469273743
10014,124233.12883435583
10016,109298.73088187439
10017,118061.72291296624
10018,108746.18902439025
10019,107014.96779082986
10021,124193.91462306994
10022,124320.79414838034
10023,121776.25639482395
10024,118313.14878892733
10025,93258.39398919934
10026,65380.718008106545
10027,61675.983037779486
10028,117822.24532224532
10029,48339.6723229959
10030,48373.42271293375
10031,48674.798239178286
10032,46467.4900108972
10033,52235.165272799684
10034,50708.04658549497
10035,50944.669365721995
10036,94940.64443188242
10037,57120.58212058212
10038,95681.62574089755
10039,47026.169706582084
10040,50772.05882352941
10044,86945.03171247357
10065,120720.64643799471
10069,133653.84615384616
10075,120113.13056379822
10128,111992.48721227623
10162,137335.52631578947
10280,134397.5903614458
10282,152181.6037735849
10301,66913.36230309615
10302,57217.51412429378
10303,52778.861154446175
10304,61216.41074856045
10305,64277.19465648855
10306,73657.31115731115
10307,86900.43604651163
10308,81452.4647887324
10309,85576.92307692306
10310,67453.42929720576
10312,83484.34925864909
10314,74144.03778040141
10451,40553.319919517104
10452,35306.24661979448
10453,34474.69021882415
10454,35661.76470588235
10455,35785.48644338118
10456,34503.467062902426
10457,34633.56973995271
10458,35868.3314415437
10459,36056.161891768985
10460,36095.55804404629
10461,57890.49919484702
10462,49331.55080213904
10463,65918.80341880342
10464,84418.6046511628
10465,67554.12890231621
10466,47724.43890274314
10467,42034.178610804855
10468,37413.79310344827
10469,53108.54753793744
10470,58968.83289124668
10471,91633.16582914573
10472,37918.66028708134
10473,46564.818085482155
10474,35229.54091816367
10475,56136.161705908475
10501,105178.57142857142
10502,120470.38327526132
10504,128945.70707070708
10505,92225.60975609758
10506,126241.13475177305
10507,85787.03703703704
10509,84375.0
10510,124123.24649298599
10511,82944.91525423728
10512,85317.00835231587
10514,136587.5912408759
10516,99500.0
10518,113556.338028169
10520,103052.55023183925
10522,107674.19962335218
10523,75297.61904761905
10524,102978.97196261681
10526,105338.54166666666
10527,115178.57142857142
10528,100964.76510067114
10530,105584.37067773167
10532,101162.79069767443
10533,121352.78514588859
10535,74038.46153846153
10536,118916.9847328244
10537,77254.09836065574
10538,127009.74421437271
10541,91301.88679245283
10543,95909.09090909091
10546,120246.47887323944
10547,87107.32984293194
10548,86397.05882352941
10549,92114.69534050178
10550,48113.69509043928
10552,77373.41772151898
10553,58578.856152513
10560,104955.94713656387
10562,78564.81481481482
10566,63870.52877138414
10567,97280.48780487804
10570,112294.74548440066
10573,73685.89743589744
10576,125196.07843137255
10577,125904.6052631579
10578,91964.28571428571
10579,95230.26315789473
10580,125284.09090909091
10583,127798.99894625922
10588,91138.05970149253
10589,108700.20964360586
10590,113611.96319018405
10591,87684.12438625205
10594,100277.77777777778
10595,105585.10638297872
10597,135677.0833333333
10598,102525.33783783784
10601,83222.0367278798
10603,80059.82053838484
10604,87458.74587458746
10605,104251.45348837209
10606,71206.11551528878
10607,90000.0
10701,55344.262295081964
10703,62190.366972477066
10704,71318.10442678774
10705,53397.02760084926
10706,116423.7668161435
10707,101553.67231638418
10708,109944.93392070485
10709,102549.01960784313
10710,82270.67407922167
10801,67866.94957563655
10803,118323.62728785358
10804,125645.04881450487
10805,72483.76623376623
10901,87057.52212389381
10913,101730.76923076923
10916,92274.67811158799
10917,80963.30275229357
10918,84708.12182741116
10919,75625.0
10920,92320.26143790848
10921,79525.86206896552
10923,69642.85714285714
10924,87706.14692653673
10925,79522.35772357724
10926,72992.22797927461
10927,48936.59711075442
10928,64747.807017543855
10930,85937.5
10940,61566.8813944676
10941,67564.93506493507
10950,71012.98701298701
10952,66818.87366818874
10954,84852.70700636943
10956,100368.77688998156
10958,78560.60606060605
10960,86907.11462450594
10962,96595.14925373135
10963,75290.69767441861
10964,108854.16666666666
10965,96688.4328358209
10968,108200.0
10969,78409.09090909091
10970,78904.80591497227
10973,85129.3103448276
10974,84500.0
10975,63281.25
10976,77205.88235294117
10977,54143.05949008499
10980,83856.34588563458
10983,100324.67532467532
10984,86029.41176470589
10985,76666.66666666667
10986,87239.58333333333
10987,90975.60975609756
10989,95961.9341563786
10990,91337.5
10992,82287.44939271254
10993,55498.12030075188
10994,102152.95629820052
10996,79921.25984251969
10998,89644.97041420118
11001,87465.51724137932
11003,62972.83702213279
11004,76746.32352941176
11005,121318.49315068494
11010,83041.89085318986
11020,100918.5303514377
11021,105467.92849631966
11023,103758.74125874127
11024,98961.4243323442
11030,124556.04883462819
11040,93346.32516703787
11042,121250.0
11050,104821.54551407989
11096,48554.216867469884
11101,91603.38785046729
11102,67476.42744892614
11103,63495.96570852244
11104,66906.22861054073
11105,68860.90814196243
11106,66533.1940575673
11109,133892.85714285713
11201,117507.86388332857
11203,50698.51913942442
11204,51748.09830310123
11205,72222.22222222222
11206,51560.84305408271
11207,42837.47363487227
